Thương hiệu,Model,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Số chỗ ngồi,Số cửa,Dẫn động,Giá thành,Loại nhiên liệu,Dung tích động cơ,Đơn vị động cơ,Tuổi
Hyundai,SantaFe,Used,63000,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,182,Diesel ,2.2,L,2
Mazda,3,Used,69000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,485,Gas ,1.5,L,4
Hyundai,i10,Used,25000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,385,Gas ,1.25,L,1
Honda,CRV,Used,70000,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,555,Gas ,2.4,L,8
Mercedes Benz,GLS,Used,80000,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,239,Diesel ,3.0,L,7
Hyundai,Veloster,Used,120000,Imported,Hatchback,Automatic,5,3,FWD - Front Wheel Drive,359,Gas ,1.6,L,12
Ford,Ranger,Used,45000,Imported,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,617,Diesel ,2.0,L,3
Toyota,Vios,Used,28000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,459,Gas ,1.5,L,3
Honda,City,New,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,609,Gas ,1.5,L,0
Mercedes Benz,GLC,Used,9000,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,299,Gas ,2.0,L,1
Mercedes Benz,E class,Used,15000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,2239,Gas ,2.0,L,2
Mitsubishi,Xpander,Used,40000,Imported,SUV,Automatic,7,5,FWD - Front Wheel Drive,518,Gas ,1.5,L,3
Honda,City,Used,70000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,410,Gas ,1.5,L,5
Toyota,Prado,Used,10000,Imported,SUV,Automatic,7,5,4WD - 4 Wheel Drive,2699,Gas ,2.7,L,1
